name,bio,niche,location,audience_size
Ananya Sharma,"Makeup tutorials, skincare routines, and product reviews.",Beauty,Indore,136144
Rohan Mehta,Documenting my food adventures through local eateries and hidden gems.,Food,Delhi,140180
Priya Iyer,Affordable fashion hauls and styling tips for college students.,Fashion,Mumbai,91858
Aarav Kapoor,Mixing ethnic and modern fashion for everyday looks.,Fashion,Chennai,89397
Meera Nair,Mimicry and spoofs of trending reels and Bollywood clichés.,Comedy,Delhi,104222
Kunal Joshi,Live streams with interactive challenges and giveaways.,Gaming,Jaipur,81918
Sanya Arora,Helping women take charge of their finances through simple money lessons.,Finance,Mumbai,69353
Harshvardhan Rao,"Plus-size fashion, body positivity, and confidence in clothing.",Fashion,Delhi,142275
Diya Patel,Discussing gaming culture in India and underrated indie games.,Gaming,Ahmedabad,104966
Raj Malhotra,"Honest parenting moments, mom hacks, and support for working parents.",Parenting,Pune,135773
Tanya Verma,"Sharing parenting advice, toddler care, and educational activities.",Parenting,Delhi,116895
Imran Qureshi,Affordable fashion hauls and styling tips for college students.,Fashion,Kochi,106546
Neha Dubey,"Makeup tutorials, skincare routines, and product reviews.",Beauty,Chandigarh,124348
Yash Agarwal,Honest reviews of Indian and international beauty brands.,Beauty,Jaipur,122572
Sneha Reddy,Reacting to viral content and trending TV moments.,Entertainment,Indore,104392
Arjun Bhatia,Exploring traditional Indian dishes with a modern twist.,Food,Delhi,79241
Ishita Banerjee,"Road trip itineraries, packing guides, and hostel stays across India.",Travel,Nagpur,96950
Manav Singh,"Exploring the latest in tech gadgets, app reviews, and digital trends.",Technology,Nagpur,51159
Kritika Chauhan,"Yoga for flexibility and mindfulness, with breathing techniques and lifestyle habits.",Fitness,Nagpur,68587
Kabir Khan,Live streams with interactive challenges and giveaways.,Gaming,Bhopal,100806
Lavanya Pillai,"Reviewing street food, home recipes, and culinary experiments.",Food,Nagpur,71366
Nikhil D'Souza,Everyday hacks for a more organized and peaceful lifestyle.,Lifestyle,Mumbai,76502
Pooja Deshmukh,"Satirical content around desi parenting, exams, and Indian weddings.",Comedy,Chennai,73429
Aditya Narayan,Daily Bollywood gossip and retro movie nostalgia.,Entertainment,Delhi,105998
Shivani Trivedi,Bodyweight training and home workouts with a focus on strength and stamina.,Fitness,Jaipur,84446
Zoya Siddiqui,Upcycling waste into décor pieces and sustainable gifting.,DIY,Lucknow,105203
Ritika Bhatt,New mom content focusing on nutrition and postpartum mental health.,Parenting,Bengaluru,89500
Viraj Kulkarni,Ayurvedic beauty solutions and homemade skincare routines.,Beauty,Bhopal,113802
Tanvi Ghosh,New mom content focusing on nutrition and postpartum mental health.,Parenting,Pune,55233
Rehan Ali,Stock market basics made simple for students and working adults.,Finance,Lucknow,141857
Simran Kaur,Honest reviews of Indian and international beauty brands.,Beauty,Pune,68670
Devansh Saxena,Exploring cultural travel experiences and local traditions.,Travel,Delhi,126372
Mira Solanki,Daily Bollywood gossip and retro movie nostalgia.,Entertainment,Bengaluru,65951
Ayaan Chatterjee,Mixing ethnic and modern fashion for everyday looks.,Fashion,Chennai,72456
Ira Dey,Solo travel diaries and women safety tips for Indian explorers.,Travel,Indore,117086
Nitesh Patil,Discussing gaming culture in India and underrated indie games.,Gaming,Hyderabad,105745
Reeva Sethi,"Creating content around journaling, planning, and aesthetic home life.",Lifestyle,Nagpur,131386
Farhan Merchant,"Sharing parenting advice, toddler care, and educational activities.",Parenting,Chandigarh,59043
Divya Menon,Discussing gaming culture in India and underrated indie games.,Gaming,Bhopal,67598
Ronit Kapoor,Exploring Indian regional authors and underrated literary gems.,Books,Ahmedabad,77803
Aisha Khan,"Road trip itineraries, packing guides, and hostel stays across India.",Travel,Mumbai,75346
Saurabh Jaiswal,Collaborative comedy sketches with characters from urban India.,Comedy,Ahmedabad,143218
Radhika Shetty,Solo travel diaries and women safety tips for Indian explorers.,Travel,Lucknow,61813
Karan Thakur,Ayurvedic beauty solutions and homemade skincare routines.,Beauty,Nagpur,60109
Vaishnavi Joshi,"Reviewing street food, home recipes, and culinary experiments.",Food,Chennai,110827
Parthiv Bhatt,"Mobile gaming tips, walkthroughs, and gameplay shorts.",Gaming,Bengaluru,144656
Shruti Rane,"Mobile gaming tips, walkthroughs, and gameplay shorts.",Gaming,Nagpur,66858
Aliya Qureshi,New mom content focusing on nutrition and postpartum mental health.,Parenting,Chennai,61473
Bhavesh Patel,Discussing gaming culture in India and underrated indie games.,Gaming,Indore,79617
Lekha Krishnan,Creating 5-minute healthy recipes for working professionals.,Food,Bengaluru,139918
